quarter,pdf_page,table_row,category,code,name,original_budget,final_budget,quarter_performance,ytd_performance,balance
2,27,,overhead,052100400300,School of Basic Mid Wifery Kano,25620000.00,25620000.00,1500000.00,1500000.00,24120000.00
2,27,,overhead,052100400400,School of Basic Mid Wifery Dambatta,22100000.00,22100000.00,1500000.00,1500000.00,20600000.00
2,27,,overhead,052100400500,School of Post Basic Mid Wifery Gezawa,12920000.00,12920000.00,1500000.00,1700000.00,11220000.00
2,27,,overhead,052100400600,School of Nursing Madobi,34300000.00,34300000.00,1500000.00,1500000.00,32800000.00
2,27,,overhead,052100400700,School of Post Basic Anesthesia,13750000.00,13750000.00,1500000.00,1700000.00,12050000.00
2,27,,overhead,052100400800,School of Basic Mid Wifery Gwarzo,25620000.00,25620000.00,1500000.00,1700000.00,23920000.00
2,27,,overhead,052101000100,KANO STATE COLLEGE OF HEALTH SCIENCE & TECHNOLOGY HEAD QUARTER,43288000.00,43288000.00,900000.00,900000.00,42388000.00
2,27,,overhead,052102000100,School of Hygiene,6250000.00,6250000.00,0,0,6250000.00
2,27,,overhead,052103000100,School of Health Technology Bebeji,25238000.00,25238000.00,2400000.00,2400000.00,22838000.00
2,27,,overhead,052104000100,School Health Technology Kano,101500000.00,101500000.00,1500000.00,1500000.00,100000000.00
2,27,,overhead,052100500100,Primary Health Care Mgt. Board (PHCMB),1723600000.00,1723600000.00,3000000.00,3000000.00,1720600000.00
2,27,,overhead,052100600100,State Agency for Control of Aids,24000000.00,24000000.00,1500000.00,1500000.00,22500000.00
2,27,,overhead,052100800100,CONTRIBUTORY HEALTH MGT,956600000.00,956600000.00,0,0,956600000.00
2,27,,overhead,052100900100,KHETFUND,139000000.00,139000000.00,0,0,139000000.00
2,27,,overhead,052101100100,Private Health Institutions Management Agency,58500000.00,58500000.00,1500000.00,1500000.00,57000000.00
2,27,,overhead,052101300100,Drugs Management & Consumable Supply Agency (Drugs Management Agency),128240000.00,128240000.00,900000.00,900000.00,127340000.00
